ԱԱ	ɑ ɑ́
սողուն	s o ʁ ú n
սոճի	s o d͡ʒ í
սոմալի	s o m ɑ l í
սոմելիե	s o m e l i j é
սոնիճ	s o n í d͡ʒ
սոուլ	s ó u l
սոուս	s ó u s
սոջու	s o t͡ʃʰ ú
սոսափ	s o s ɑ́ pʰ
սոսափյուն	s o s ɑ pʰ ʏ́ n
սոսի	s o s í
սոսինձ	s o s í n t͡sʰ
սոսկ	s o s k
սով	s o v
սովալլուկ	s o v ɑ lː ú ɡ
սոված	s o v ɑ́ d͡z
սովամահ	s o v ɑ m ɑ́ h
սովամահություն	s o v ɑ m ɑ h u tʰ ʏ́ n
սովետական	s o v e d ɑ ɡ ɑ́ n
սովոր	s o v ó ɾ
սովորաբար	s o v o ɾ ɑ pʰ ɑ́ ɾ
սովորական	s o v o ɾ ɑ ɡ ɑ́ n
սովորել	s o v o ɾ é l
սովորեցնել	s o v o ɾ e t͡sʰ ə n é l
սովորություն	s o v o ɾ u tʰ ʏ́ n
սովորույթ	s o v o ɾ ú j tʰ
սովրիլ	s o v ɾ í l
սոր	s o ɾ
սորալ	s o ɾ ɑ́ l
սորգո	s o ɾ kʰ ó
սորել	s o ɾ é l
սորոսական	s o ɾ o s ɑ ɡ ɑ́ n
սորուիլ	s o ɾ v í l
սորվեցնել	s o ɾ v e t͡sʰ ə n é l
սորվիլ	s o ɾ v í l
սոցիալական	s o t͡sʰ i j ɑ l ɑ ɡ ɑ́ n
սոցիալիզմ	s o t͡sʰ i j ɑ l í z m
սոցիալիստական	s o t͡sʰ i j ɑ l i s t ɑ ɡ ɑ́ n
սոցիոլոգ	s o t͡sʰ j o l ó kʰ
սոցիոլոգիա	s o t͡sʰ j o l o kʰ i j ɑ́
սուբյեկտիվություն	s u pʰ j e ɡ d i v u tʰ ʏ́ n
սուգ	s u kʰ
սուզանավ	s u z ɑ n ɑ́ v
սուզել	s u z é l
սուզվել	s u z v é l
սուլել	s u l é l
սուլթան	s u l tʰ ɑ́ n
սուլիչ	s u l í t͡ʃʰ
սուղ	s u ʁ
սուճուխ	s u d͡ʒ ú χ
սումո	s u m ó
սույն	s u j n
սունդաներեն	s u n tʰ ɑ n e ɾ é n
սունկ	s u ŋ ɡ
սուշի	s u ʃ í
սուպերմարկետ	s u b e ɾ m ɑ ɾ ɡ é d
սուս	s u s
սուսեր	s u s é ɾ
սուսերամարտ	s u s e ɾ ɑ m ɑ́ ɾ d
սուսերամարտիկ	s u s e ɾ ɑ m ɑ ɾ d í ɡ
սուսուփուս	s u s u pʰ ú s
սուտ	s u d
սուտակ	s u d ɑ́ ɡ
սուտասան	s u d ɑ s ɑ́ n
սուր	s u ɾ
սուրահ	s u ɾ ɑ́ h
սուրբ	s u ɾ pʰ
սուրհանդակ	s u ɾ h ɑ n tʰ ɑ́ ɡ
սուրճ	s u ɾ d͡ʒ
սուրսաթ	s u ɾ s ɑ́ tʰ
սպա	ə s p ɑ́
սպանախ	ə s p ɑ n ɑ́ χ
սպանդ	ə s p ɑ́ n tʰ
սպանդանոց	ə s p ɑ n tʰ ɑ n ó t͡sʰ
սպանել	ə s p ɑ n é l
սպաննել	ə s p ɑ nː é l
սպանություն	ə s p ɑ n u tʰ ʏ́ n
սպանուհի	ə s p ɑ n u h í
սպանվել	ə s p ɑ n v é l
սպառազինության	ə s p ɑ r ɑ z i n u tʰ j ɑ́ n
սպառազինություն	ə s p ɑ r ɑ z i n u tʰ ʏ́ n
սպառազինությունների	ə s p ɑ r ɑ z i n u tʰ ʏ nː e ɾ í
սպառնալ	ə s p ɑ r n ɑ́ l
սպառնալիք	ə s p ɑ r n ɑ l í kʰ
սպառող	ə s p ɑ r ó ʁ
սպառվել	ə s p ɑ r v é l
սպաս	s ə b ɑ́ s
սպաս	ə s p ɑ́ s
սպասասրահ	ə s p ɑ s ɑ s ə ɾ ɑ́ h
սպասավոր	ə s p ɑ s ɑ v ó ɾ
սպասարկել	ə s p ɑ s ɑ ɾ ɡ é l
սպասարկիչ	ə s p ɑ s ɑ ɾ ɡ í t͡ʃʰ
սպասարկում	ə s p ɑ s ɑ ɾ ɡ ú m
սպասել	ə s p ɑ s é l
սպասյակ	ə s p ɑ s j ɑ́ ɡ
սպասվել	ə s p ɑ s v é l
սպասք	ə s p ɑ́ s kʰ
սպարապետ	ə s p ɑ ɾ ɑ b é d
սպերմա	ə s p é ɾ m ɑ
սպերմատոզոիդ	ə s p e ɾ m ɑ d o z o j í tʰ
սպերմատոզոիդ	ə s p e ɾ m ɑ d o z ó j i tʰ
սպեցնազ	ə s p e t͡sʰ n ɑ́ z
սպի	ə s p í
սպիդոմետր	ə s p i tʰ o m é d ə ɾ
սպիտակ	ə s p i d ɑ́ ɡ
սպիտակամորթ	ə s p i d ɑ ɡ ɑ m ó ɾ tʰ
սպիտակավուն	ə s p i d ɑ ɡ ɑ v ú n
սպիտակուց	ə s p i d ɑ ɡ ú t͡sʰ
սպիրտ	ə s p í ɾ d
սպորտ	ə s p ó ɾ d
սպունգ	ə s p ú ŋ kʰ
սպրդել	s ə b ə ɾ tʰ é l
սպրիչ	ə s p ɾ í t͡ʃʰ
սսկվել	s ə s k ə v é l
սվահիլի	s v ɑ h í l i
սվաստիկա	s v ɑ s t i ɡ ɑ́
սվին	s ə v í n
սվիտեր	s v i d é ɾ
սվորիկ	s ə v o ɾ í ɡ
ստադիոն	ə s t ɑ tʰ i j ó n
ստալինիզմ	ə s t ɑ l i n í z m
ստախոս	s ə d ɑ χ ó s
ստակ	ə s t ɑ́ ɡ
ստամբակ	ə s t ɑ m pʰ ɑ́ ɡ
ստամբակել	ə s t ɑ m pʰ ɑ ɡ é l
ստամբակություն	ə s t ɑ m pʰ ɑ ɡ u tʰ ʏ́ n
ստամոքս	ə s t ɑ m ó kʰ s
ստանալ	ə s t ɑ n ɑ́ l
ստանդարտ	ə s t ɑ n tʰ ɑ́ ɾ d
ստանձնել	ə s t ɑ n t͡sʰ n é l
ստանձնել	ə s t ɑ n t͡sʰ ə n é l
ստանցի	ə s t ɑ n t͡sʰ í
ստատիստիկա	ə s t ɑ d í s t i ɡ ɑ
ստատուս	ə s t ɑ d ú s
ստարտափ	ə s t ɑ ɾ d ɑ́ pʰ
ստացող	ə s t ɑ t͡sʰ ó ʁ
ստել	s ə d é l
ստեխիոմետրիա	ə s t e χ i j o m é d ɾ i j ɑ
ստեղծագործ	ə s t e ʁ d͡z ɑ kʰ ó ɾ d͡z
ստեղծագործական	ə s t e ʁ d͡z ɑ kʰ o ɾ d͡z ɑ ɡ ɑ́ n
ստեղծագործություն	ə s t e ʁ d͡z ɑ kʰ o ɾ d͡z u tʰ ʏ́ n
ստեղծել	ə s t e ʁ d͡z é l
ստեղծիչ	ə s t e ʁ d͡z í t͡ʃʰ
ստեղծում	ə s t e ʁ d͡z ú m
ստեղն	ə s t é ʁ ə n
ստեղնաշար	ə s t e ʁ n ɑ ʃ ɑ́ ɾ
ստենդ	ə s t é n tʰ
ստենտ	ə s t é n d
ստեպ	ə s t é b
ստեպղին	ə s t e b ʁ í n
ստերջ	ə s t é ɾ t͡ʃʰ
ստին	ə s t í n
ստինք	ə s t í ŋ kʰ
ստիպել	ə s t i b é l
ստիպվել	ə s t i b v é l
ստոծանի	ə s t o d͡z ɑ n í
ստոր	ə s t ó ɾ
ստորաբաժանում	ə s t o ɾ ɑ pʰ ɑ ʒ ɑ n ú m
ստորագրել	ə s t o ɾ ɑ kʰ ɾ é l
ստորագրություն	ə s t o ɾ ɑ kʰ ɾ u tʰ ʏ́ n
ստորակետ	ə s t o ɾ ɑ ɡ é d
ստորանալ	ə s t o ɾ ɑ n ɑ́ l
ստորացնել	ə s t o ɾ ɑ t͡sʰ ə n é l
ստորացում	ə s t o ɾ ɑ t͡sʰ ú m
ստորացվել	ə s t o ɾ ɑ t͡sʰ v é l
ստորգետնյա	ə s t o ɾ kʰ e d n j ɑ́
ստորերկրյա	ə s t o ɾ e ɾ ɡ ə ɾ j ɑ́
ստորերկրյա	ə s t o ɾ e ɾ ɡ ɾ j ɑ́
ստորին	ə s t o ɾ í n
ստորոգյալ	ə s t o ɾ o kʰ j ɑ́ l
ստուգաբան	ə s t u kʰ ɑ pʰ ɑ́ n
ստուգաբանություն	ə s t u kʰ ɑ pʰ ɑ n u tʰ ʏ́ n
ստուգաթերթ	ə s t u kʰ ɑ tʰ é ɾ tʰ
ստուգայց	ə s t u kʰ ɑ́ j t͡sʰ
ստուգել	ə s t u kʰ é l
ստուգում	ə s t u kʰ ú m
ստուդիա	ə s t ú tʰ i j ɑ
ստություն	s ə d u tʰ ʏ́ n
ստվար	ə s t v ɑ́ ɾ
ստվարաբուն	ə s t ə v ɑ ɾ ɑ pʰ ú n
ստվարագլուխ	ə s t ə v ɑ ɾ ɑ kʰ ə l ú χ
ստվարաթիվ	ə s t ə v ɑ ɾ ɑ tʰ í v
ստվարաթղթակազմ	ə s t ə v ɑ ɾ ɑ tʰ ə χ tʰ ɑ ɡ ɑ́ z m
ստվարաթղթե	ə s t ə v ɑ ɾ ɑ tʰ ə χ tʰ é
ստվարաթղթյա	ə s t ə v ɑ ɾ ɑ tʰ ə χ tʰ j ɑ́
ստվարաթուղթ	ə s t ə v ɑ ɾ ɑ tʰ ú χ tʰ
ստվարախումբ	ə s t ə v ɑ ɾ ɑ χ ú m pʰ
ստվարածալ	ə s t ə v ɑ ɾ ɑ d͡z ɑ́ l
ստվարածավալ	ə s t ə v ɑ ɾ ɑ d͡z ɑ v ɑ́ l
ստվեր	ə s t v é ɾ
ստրատեգիա	ə s t ɾ ɑ d é kʰ i j ɑ
ստրիպտիզ	ə s t ɾ i b d í z
ստրկատեր	ə s t ə ɾ ɡ ɑ d é ɾ
ստրկատիրություն	ə s t ə ɾ ɡ ɑ d i ɾ u tʰ ʏ́ n
ստրկացնել	ə s t ə ɾ ɡ ɑ t͡sʰ ə n é l
ստրկություն	ə s t ə ɾ ɡ u tʰ ʏ́ n
ստրոնցիում	ə s t ɾ o n t͡sʰ i j ú m
ստրոնցիում	ə s t ɾ ó n t͡sʰ i j u m
ստրուկ	ə s t ɾ ú ɡ
սրածայր	s ə ɾ ɑ d͡z ɑ́ j ɾ
սրահ	s ə ɾ ɑ́ h
սրամիտ	s ə ɾ ɑ m í d
սրամտել	s ə ɾ ɑ m ə d é l
սրանք	s ə ɾ ɑ́ ŋ kʰ
սրբագիր	s ə ɾ pʰ ɑ kʰ í ɾ
սրբագրել	s ə ɾ pʰ ɑ kʰ ɾ é l
սրբազան	s ə ɾ pʰ ɑ z ɑ́ n
սրբան	s ə ɾ pʰ ɑ́ n
սրբանային	s ə ɾ pʰ ɑ n ɑ j í n
սրբապղծել	s ə ɾ pʰ ɑ b ə ʁ d͡z é l
սրբապղծություն	s ə ɾ pʰ ɑ b ə ʁ d͡z u tʰ ʏ́ n
սրբել	s ə ɾ pʰ é l
սրբիչ	s ə ɾ pʰ í t͡ʃʰ
սրբոսկր	s ə ɾ pʰ ó s k ə ɾ
սրբուհի	s ə ɾ pʰ u h í
սրել	s ə ɾ é l
սրընթաց	s ə ɾ ə n tʰ ɑ́ t͡sʰ
սրընչակ	s ə ɾ ə n t͡ʃʰ ɑ́ ɡ
սրիկա	s ɾ i ɡ ɑ́
սրինգ	s ə ɾ í ŋ kʰ
սրիչ	s ə ɾ í t͡ʃʰ
սրճագույն	s ə ɾ d͡ʒ ɑ kʰ ú j n
սրճակաթ	s ə ɾ d͡ʒ ɑ ɡ ɑ́ tʰ
սրճահատիկ	s ə ɾ d͡ʒ ɑ h ɑ d í ɡ
սրճաղաց	s ə ɾ d͡ʒ ɑ ʁ ɑ́ t͡sʰ
սրճաման	s ə ɾ d͡ʒ ɑ m ɑ́ n
սրճանոց	s ə ɾ d͡ʒ ɑ n ó t͡sʰ
սրճաստան	s ə ɾ d͡ʒ ɑ s t ɑ́ n
սրճավաճառ	s ə ɾ d͡ʒ ɑ v ɑ d͡ʒ ɑ́ r
սրճատուն	s ə ɾ d͡ʒ ɑ d ú n
սրճարան	s ə ɾ d͡ʒ ɑ ɾ ɑ́ n
սրճարանատեր	s ə ɾ d͡ʒ ɑ ɾ ɑ n ɑ d é ɾ
սրճարար	s ə ɾ d͡ʒ ɑ ɾ ɑ́ ɾ
սրճել	s ə ɾ d͡ʒ é l
սրճենի	s ə ɾ d͡ʒ e n í
սրճեփ	s ə ɾ d͡ʒ é pʰ
սրճիտ	s ə ɾ d͡ʒ í d
սրմա	s ə ɾ m ɑ́
սրնչակ	s ə ɾ ə n t͡ʃʰ ɑ́ ɡ
սրնքամիս	s ə ɾ ə ŋ kʰ ɑ m í s
սրունք	s ə ɾ ú ŋ kʰ
սրսկել	s ə ɾ ə s k é l
սրված	s ə ɾ v ɑ́ d͡z
սրվել	s ə ɾ v é l
սրտաբան	s ə ɾ d ɑ pʰ ɑ́ n
սրտաբանություն	s ə ɾ d ɑ pʰ ɑ n u tʰ ʏ́ n
սրտային	s ə ɾ d ɑ j í n
սրտանց	s ə ɾ d ɑ́ n t͡sʰ
սրտաշարժ	s ə ɾ d ɑ ʃ ɑ́ ɾ ʒ
սրտաշարժաբար	s ə ɾ d ɑ ʃ ɑ ɾ ʒ ɑ pʰ ɑ́ ɾ
սրտաշարժել	s ə ɾ d ɑ ʃ ɑ ɾ ʒ é l
սրտառել	s ə ɾ d ɑ r é l
սրտառուչ	s ə ɾ d ɑ r ú t͡ʃʰ
սրտխառնուկ	s ə ɾ d χ ɑ r n ú ɡ
սրտխփոց	s ə ɾ d χ ə pʰ ó t͡sʰ
սրտյա	s ə ɾ d j ɑ́
սցենար	ə s t͡sʰ e n ɑ́ ɾ
սցենարիստ	ə s t͡sʰ e n ɑ ɾ í s t
սփյուռքահայ	ə s pʰ ʏ r kʰ ɑ h ɑ́ j
սփոփանք	ə s pʰ o pʰ ɑ́ ŋ kʰ
սփոփել	ə s pʰ o pʰ é l
սփոփվել	ə s pʰ o pʰ v é l
սփռել	s ə pʰ r é l
սփռոց	s ə pʰ r ó t͡sʰ
սփռվել	s ə pʰ ə r v é l
սքանչելի	ə s k ɑ n t͡ʃʰ e l í
սքեյթբորդ	ə s kʰ e j tʰ pʰ ó ɾ tʰ
սև	s e v
սևական	s e v ɑ ɡ ɑ́ n
սևամաղձ	s e v ɑ m ɑ́ χ t͡sʰ
սևամորթ	s e v ɑ m ó ɾ tʰ
սևավուն	s e v ɑ v ú n
վ	v ə
վագոն	v ɑ kʰ ó n
վագր	v ɑ́ kʰ ə ɾ
վագրակատու	v ɑ kʰ ɾ ɑ ɡ ɑ d ú
վագրաձի	v ɑ kʰ ɾ ɑ t͡sʰ í
վազ	v ɑ z
վազել	v ɑ z é l
վազվզել	v ɑ z v ə z é l
վազք	v ɑ s kʰ
վաթան	v ɑ tʰ ɑ́ n
վաթել	v ɑ tʰ é l
վաթսուն	v ɑ tʰ s ú n
վաթսուն	v ɑ tʰ t͡sʰ ú n
վալետ	v ɑ l é d
վալիզ	v ɑ l í z
վալլիերեն	v ɑ lː i j e ɾ é n
վալս	v ɑ l s
վախ	v ɑ χ
վախել	v ɑ χ é l
վախենալ	v ɑ χ e n ɑ́ l
վախեցած	v ɑ χ e t͡sʰ ɑ́ d͡z
վախեցնել	v ɑ χ e t͡sʰ ə n é l
վախկոտ	v ɑ χ k ó d
վախկոտություն	v ɑ χ k o d u tʰ ʏ́ n
վախճան	v ɑ χ t͡ʃ ɑ́ n
վախճանական	v ɑ χ t͡ʃ ɑ n ɑ ɡ ɑ́ n
վախճանականություն	v ɑ χ t͡ʃ ɑ n ɑ ɡ ɑ n u tʰ ʏ́ n
վախճանակետ	v ɑ χ t͡ʃ ɑ n ɑ ɡ é d
վախճանամերձ	v ɑ χ t͡ʃ ɑ n ɑ m é ɾ t͡sʰ
վախճանվել	v ɑ χ t͡ʃ ɑ n v é l
վախնալ	v ɑ χ n ɑ́ l
վախնալիք	v ɑ χ n ɑ l í kʰ
վախցնել	v ɑ χ t͡sʰ ə n é l
վակուում	v ɑ ɡ u ú m
վակուում	v ɑ́ ɡ u u m
վահան	v ɑ h ɑ́ n
վահանագեղձ	v ɑ h ɑ n ɑ kʰ é ʁ d͡z
վահանակ	v ɑ h ɑ n ɑ́ ɡ
վաղ	v ɑ ʁ
վաղը	v ɑ́ ʁ ə
վաղն	v ɑ ʁ n
վաղնջահայերեն	v ɑ ʁ ə n t͡ʃʰ ɑ h ɑ j e ɾ é n
վաղորդյան	v ɑ ʁ o ɾ tʰ j ɑ́ n
վաղր	v ɑ́ ʁ ə ɾ
վաճառ	v ɑ d͡ʒ ɑ́ r
վաճառական	v ɑ d͡ʒ ɑ r ɑ ɡ ɑ́ n
վաճառասեղան	v ɑ d͡ʒ ɑ r ɑ s e ʁ ɑ́ n
վաճառավայր	v ɑ d͡ʒ ɑ r ɑ v ɑ́ j ɾ
վաճառատեղ	v ɑ d͡ʒ ɑ r ɑ d é ʁ
վաճառատեղի	v ɑ d͡ʒ ɑ r ɑ d e ʁ í
վաճառել	v ɑ d͡ʒ ɑ r é l
վաճառող	v ɑ d͡ʒ ɑ r ó ʁ
վաճառք	v ɑ d͡ʒ ɑ́ r kʰ
վայ	v ɑ j
վայել	v ɑ j é l
վայելել	v ɑ j e l é l
վայելուչ	v ɑ j e l ú t͡ʃʰ
վայելք	v ɑ j é l kʰ
վայիս	v ɑ j í s
վայր	v ɑ j ɾ
վայրագ	v ɑ j ɾ ɑ́ kʰ
վայրաշարժ	v ɑ j ɾ ɑ ʃ ɑ́ ɾ ʒ
վայրենի	v ɑ j ɾ e n í
վայրենություն	v ɑ j ɾ e n u tʰ ʏ́ n
վայրէջք	v ɑ j ɾ é t͡ʃʰ kʰ
վայրի	v ɑ j ɾ í
վայրկենական	v ɑ j ɾ ɡ e n ɑ ɡ ɑ́ n
վայրկենական	v ɑ ɾ ɡ e n ɑ ɡ ɑ́ n
վայրկենաչափ	v ɑ j ɾ ɡ e n ɑ t͡ʃʰ ɑ́ pʰ
վայրկենաչափ	v ɑ ɾ ɡ e n ɑ t͡ʃʰ ɑ́ pʰ
վայրկյան	v ɑ j ɾ ɡ j ɑ́ n
վայրկյան	v ɑ ɾ ɡ j ɑ́ n
վայրկյանական	v ɑ j ɾ ɡ j ɑ n ɑ ɡ ɑ́ n
վայրկյանական	v ɑ ɾ ɡ j ɑ n ɑ ɡ ɑ́ n
վայրկյանաչափ	v ɑ j ɾ ɡ j ɑ n ɑ t͡ʃʰ ɑ́ pʰ
վայրկյանաչափ	v ɑ ɾ ɡ j ɑ n ɑ t͡ʃʰ ɑ́ pʰ
վանադիում	v ɑ n ɑ tʰ i j ú m
վանադիում	v ɑ n ɑ́ tʰ i j u m
վանական	v ɑ n ɑ ɡ ɑ́ n
վանդակ	v ɑ n tʰ ɑ́ ɡ
վանել	v ɑ n é l
վանկ	v ɑ ŋ ɡ
վանկարկել	v ɑ ŋ ɡ ɑ ɾ ɡ é l
վանկարկում	v ɑ ŋ ɡ ɑ ɾ ɡ ú m
վանկել	v ɑ ŋ ɡ é l
վաննա	v ɑ́ nː ɑ
վանք	v ɑ ŋ kʰ
վաշտ	v ɑ ʃ t
վառ	v ɑ r
վառարան	v ɑ r ɑ ɾ ɑ́ n
վառել	v ɑ r é l
վառելափայտ	v ɑ r e l ɑ pʰ ɑ́ j d
վառելիք	v ɑ r e l í kʰ
վառեկ	v ɑ r é ɡ
վառյակ	v ɑ r j ɑ́ ɡ
վառոդ	v ɑ r ó tʰ
վառվել	v ɑ r v é l
վասալ	v ɑ s ɑ́ l
վասնզի	v ɑ s ə n z í
վաստակ	v ɑ s t ɑ́ ɡ
վաստակել	v ɑ s t ɑ ɡ é l
վավեր	v ɑ v é ɾ
վավերագրական	v ɑ v e ɾ ɑ kʰ ə ɾ ɑ ɡ ɑ́ n
վավերացում	v ɑ v e ɾ ɑ t͡sʰ ú m
վատ	v ɑ d
վատասիրտ	v ɑ d ɑ s í ɾ d
վատթար	v ɑ tʰː ɑ́ ɾ
վատթարագույն	v ɑ tʰː ɑ ɾ ɑ kʰ ú j n
վատնել	v ɑ d n é l
վար	v ɑ ɾ
վարագույր	v ɑ ɾ ɑ kʰ ú j ɾ
վարազ	v ɑ ɾ ɑ́ z
վարակ	v ɑ ɾ ɑ́ ɡ
վարանել	v ɑ ɾ ɑ n é l
վարանում	v ɑ ɾ ɑ n ú m
վարանք	v ɑ ɾ ɑ́ ŋ kʰ
վարդ	v ɑ ɾ tʰ
վարդագույն	v ɑ ɾ tʰ ɑ kʰ ú j n
վարդակ	v ɑ ɾ tʰ ɑ́ ɡ
վարդակակաչ	v ɑ ɾ tʰ ɑ ɡ ɑ ɡ ɑ́ t͡ʃʰ
վարդապետ	v ɑ ɾ tʰ ɑ b é d
վարդապետություն	v ɑ ɾ tʰ ɑ b e d u tʰ ʏ́ n
վարդենի	v ɑ ɾ tʰ e n í
վարել	v ɑ ɾ é l
վարժ	v ɑ ɾ ʒ
վարժապետ	v ɑ ɾ ʒ ɑ b é d
վարժարան	v ɑ ɾ ʒ ɑ ɾ ɑ́ n
վարժեցնել	v ɑ ɾ ʒ e t͡sʰ ə n é l
վարժություն	v ɑ ɾ ʒ u tʰ ʏ́ n
վարիչ	v ɑ ɾ í t͡ʃʰ
վարկ	v ɑ ɾ ɡ
վարկաբեկ	v ɑ ɾ ɡ ɑ pʰ é ɡ
վարկաբեկել	v ɑ ɾ ɡ ɑ pʰ e ɡ é l
վարկած	v ɑ ɾ ɡ ɑ́ d͡z
վարկային	v ɑ ɾ ɡ ɑ j í n
վարկանիշ	v ɑ ɾ ɡ ɑ n í ʃ
վարկատու	v ɑ ɾ ɡ ɑ d ú
վարկերի	v ɑ ɾ ɡ e ɾ í
վարձ	v ɑ ɾ t͡sʰ
վարձակ	v ɑ ɾ t͡sʰ ɑ́ ɡ
վարձակառք	v ɑ ɾ t͡sʰ ɑ ɡ ɑ́ r kʰ
վարձկան	v ɑ ɾ t͡sʰ k ɑ́ n
վարձվոր	v ɑ ɾ t͡sʰ v ó ɾ
վարյագ	v ɑ ɾ j ɑ́ kʰ
վարյագական	v ɑ ɾ j ɑ kʰ ɑ ɡ ɑ́ n
վարշամակ	v ɑ ɾ ʃ ɑ m ɑ́ ɡ
վարորդ	v ɑ ɾ ó ɾ tʰ
վարորդական	v ɑ ɾ o ɾ tʰ ɑ ɡ ɑ́ n
վարուժան	v ɑ ɾ u ʒ ɑ́ n
վարունգ	v ɑ ɾ ú ŋ kʰ
վարչակազմ	v ɑ ɾ t͡ʃʰ ɑ ɡ ɑ́ z m
վարչական	v ɑ ɾ t͡ʃʰ ɑ ɡ ɑ́ n
վարչապետ	v ɑ ɾ t͡ʃʰ ɑ b é d
վարչապետացու	v ɑ ɾ t͡ʃʰ ɑ b e d ɑ t͡sʰ ú
վարպետ	v ɑ ɾ b é d
վարպետության	v ɑ ɾ b e d u tʰ j ɑ́ n
վարպետություն	v ɑ ɾ b e d u tʰ ʏ́ n
վարս	v ɑ ɾ s
վարսակ	v ɑ ɾ s ɑ́ ɡ
վարսակաշիլա	v ɑ ɾ s ɑ ɡ ɑ ʃ i l ɑ́
վարսահարդարիչ	v ɑ ɾ s ɑ h ɑ ɾ tʰ ɑ ɾ í t͡ʃʰ
վարսավիր	v ɑ ɾ s ɑ v í ɾ
վարսավիրանոց	v ɑ ɾ s ɑ v i ɾ ɑ n ó t͡sʰ
վարվել	v ɑ ɾ v é l
վարտիք	v ɑ ɾ d í kʰ
վարք	v ɑ ɾ kʰ
վարքականոն	v ɑ ɾ kʰ ɑ ɡ ɑ n ó n
վեգ	v e kʰ
վեդայական	v e tʰ ɑ j ɑ ɡ ɑ́ n
վեդրո	v e tʰ ɾ ó
վեզիր	v e z í ɾ
վեթինգ	v é tʰ i ŋ kʰ
վեհ	v e h
վեհանձն	v e h ɑ́ n t͡sʰ ə n
վեհություն	v e h u tʰ ʏ́ n
վեղար	v e ʁ ɑ́ ɾ
վեճ	v e d͡ʒ
վեմ	v e m
վենդետա	v e n tʰ é d ɑ
վենետական	v e n e d ɑ ɡ ɑ́ n
վենետերեն	v e n e d e ɾ é n
վենետիկյան	v e n e d i ɡ j ɑ́ n
վենետիկցի	v e n e d i kʰ t͡sʰ í
վեպ	v e b
վեվ	v e v
վեր	v e ɾ
վերաբերել	v e ɾ ɑ pʰ e ɾ é l
վերաբերիլ	v e ɾ ɑ pʰ e ɾ é l
վերաբերյալ	v e ɾ ɑ pʰ e ɾ j ɑ́ l
վերաբերվել	v e ɾ ɑ pʰ e ɾ v é l
վերագրել	v e ɾ ɑ kʰ ə ɾ é l
վերադառնալ	v e ɾ ɑ tʰ ɑ r n ɑ́ l
վերադարձ	v e ɾ ɑ tʰ ɑ́ ɾ t͡sʰ
վերազգային	v e ɾ ɑ s kʰ ɑ j í n
վերազինել	v e ɾ ɑ z i n é l
վերազինում	v e ɾ ɑ z i n ú m
վերածնվել	v e ɾ ɑ d͡z ə n v é l
վերականգնել	v e ɾ ɑ ɡ ɑ ŋ kʰ n é l
վերականգնման	v e ɾ ɑ ɡ ɑ ŋ kʰ m ɑ́ n
վերականգնման	v e ɾ ɑ ɡ ɑ ŋ kʰ n ə m ɑ́ n
վերականգնում	v e ɾ ɑ ɡ ɑ ŋ kʰ n ú m
վերակառուցում	v e ɾ ɑ ɡ ɑ r u t͡sʰ ú m
վերակացու	v e ɾ ɑ ɡ ɑ t͡sʰ ú
վերահաս	v e ɾ ɑ h ɑ́ s
վերամարմնավորում	v e ɾ ɑ m ɑ ɾ m n ɑ v o ɾ ú m
վերամբարձ	v e ɾ ɑ m pʰ ɑ́ ɾ t͡sʰ
վերանալ	v e ɾ ɑ n ɑ́ l
վերանորոգել	v e ɾ ɑ n o ɾ o kʰ é l
վերանվաճում	v e ɾ ɑ n ə v ɑ d͡ʒ ú m
վերավաճառել	v e ɾ ɑ v ɑ d͡ʒ ɑ r é l
վերարկու	v e ɾ ɑ ɾ ɡ ú
վերարտադրություն	v e ɾ ɑ ɾ d ɑ tʰ ɾ u tʰ ʏ́ n
վերացական	v e ɾ ɑ t͡sʰ ɑ ɡ ɑ́ n
վերաքննիչ	v e ɾ ɑ kʰ ə nː í t͡ʃʰ
վերելակ	v e ɾ e l ɑ́ ɡ
վերելք	v e ɾ é l kʰ
վերընթերցել	v e ɾ ə n tʰ e ɾ t͡sʰ é l
վերին	v e ɾ í n
վերլուծաբան	v e ɾ l u d͡z ɑ pʰ ɑ́ n
վերլուծական	v e ɾ l u d͡z ɑ ɡ ɑ́ n
վերլուծել	v e ɾ l u d͡z é l
վերլուծություն	v e ɾ l u d͡z u tʰ ʏ́ n
վերծանել	v e ɾ d͡z ɑ n é l
վերմակ	v e ɾ m ɑ́ ɡ
վերմակասավան	v e ɾ m ɑ ɡ ɑ s ɑ v ɑ́ n
վերմիշել	v e ɾ m i ʃ é l
վերմուտ	v e ɾ m ú d
վերմուտ	v é ɾ m u d
վերնագիր	v e ɾ n ɑ kʰ í ɾ
վերնագրել	v e ɾ n ɑ kʰ ɾ é l
վերնախաղ	v e ɾ n ɑ χ ɑ́ ʁ
վերնախավ	v e ɾ n ɑ χ ɑ́ v
վերնաշապիկ	v e ɾ n ɑ ʃ ɑ b í ɡ
վերուվայր	v e ɾ u v ɑ́ j ɾ
վերուվար	v e ɾ u v ɑ́ ɾ
վերուվարել	v e ɾ u v ɑ ɾ é l
վերուվեր	v e ɾ u v é ɾ
վերջ	v e ɾ t͡ʃʰ
վերջաբան	v e ɾ t͡ʃʰ ɑ pʰ ɑ́ n
վերջաբանություն	v e ɾ t͡ʃʰ ɑ pʰ ɑ n u tʰ ʏ́ n
վերջադաս	v e ɾ t͡ʃʰ ɑ tʰ ɑ́ s
